Method,Year,Date ,Enter by,Electronic Enter by ,Time to Start,Observe Intervals ,Block,H-ID,HP,Source,Source ID,Sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Note
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,2,Qv-F,KRE,51,F,NA,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,3,Qv-T,Rice,P4G33,F,NA,C,C,C,Qg,C,C,C,Qv,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,5,Qv-T,Rice,P4G19,F,NA,Qg,Qg,Qg,Qg,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qg,Qg,Qv,Qv,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,7,Qv-F,KRE,58,F,NA,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,8,Qv-T,Rice,P4G33,F,NA,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,C,C,C,C,Qv,Qv,Qv,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,11,Qv-F,KRE,39,F,NA,Qv,Qg,Qg,C,Qv,Qg,Qv,Qg,Qg,Qg,Qg,Qg,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,12,Qv-T,Rice,P4G33,F,NA,Qv,C,C,C,C,Qv,Qv,C,C,Qg,C,C,C,C,C,Qg,C,C,Qv,Qv,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,14,Qv-F,KRE,39,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,17,Qv-T,Rice,P4G19,F,NA,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,20,Qv-F,KRE,58,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,41,Qv-F,KRE,52,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,43,Qv-T,Rice,,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,44,Qv-F,KRE,52,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,47,Qv-T,Rice,,F,NA,Qv,Qv,C,C,C,C,C,C,Qv,Qg,Qv,Qg,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,49,Qv-F,KRE,52,F,NA,Qg,Qg,Qg,Qg,Qg,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,50,Qv-T,Rice,,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,51,Qv-F,KRE,58,F,NA,Qv,Qv,Qv,Qv,C,C,Qv,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,54,Qv-T,Rice,,F,NA,C,C,Qv,Qv,C,C,C,Qg,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,55,Qv-F,KRE,58,F,NA,C,C,C,Qv,C,C,C,C,C,C,Qv,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.8.16,LZ/GAD,SL,13:30,2 min,3,57,Qv-T,Rice,,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,61,Qv-F,KRE,58,F,NA,Qv,Qv,C,Qv,Qv,C,C,C,Qv,Qv,Qg,Qv,C,Qv,C,NA,NA,NA,NA,NA,
cup,2016,4.9.16,LZ/GAD,SL,18:40,2 min,4,62,Qv-F,KRE,52,F,NA,C,C,C,Qv,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,
